Date,SPY,GLD
2019-06-27,283.4471130371094,132.83999633789062
2019-06-28,284.9056701660156,133.1999969482422
2019-07-01,287.4922180175781,130.6199951171875
2019-07-02,288.2409362792969,133.41000366210938
2019-07-03,290.5454406738281,133.6300048828125
2019-07-05,290.21484375,132.13999938964844
2019-07-08,288.62017822265625,131.2899932861328
2019-07-09,288.97991943359375,131.75
2019-07-10,290.3607177734375,133.8300018310547
2019-07-11,291.0413513183594,132.6999969482422
2019-07-12,292.3443603515625,133.52999877929688
2019-07-15,292.4415283203125,133.52999877929688
2019-07-16,291.4984130859375,132.39999389648438
2019-07-17,289.51470947265625,134.5800018310547
2019-07-18,290.5746154785156,136.47999572753906
2019-07-19,288.9604797363281,134.47000122070312
2019-07-22,289.6702880859375,134.4499969482422
2019-07-23,291.7414855957031,133.69000244140625
2019-07-24,293.1125183105469,134.3699951171875
2019-07-25,291.71234130859375,133.4199981689453
2019-07-26,293.666748046875,133.63999938964844
2019-07-29,293.1319274902344,134.52999877929688
2019-07-30,292.41241455078125,134.97999572753906
2019-07-31,289.2132873535156,133.2100067138672
2019-08-01,286.6948547363281,136.41000366210938
2019-08-02,284.53619384765625,135.88999938964844
2019-08-05,275.9792785644531,137.7899932861328
2019-08-06,279.8493347167969,138.91000366210938
2019-08-07,280.0146484375,141.02000427246094
2019-08-08,285.508544921875,141.72999572753906
2019-08-09,283.56378173828125,141.25999450683594
2019-08-12,280.1119384765625,142.6300048828125
2019-08-13,284.46807861328125,141.77999877929688
2019-08-14,276.05706787109375,142.75
2019-08-15,276.7863464355469,143.6999969482422
2019-08-16,280.87030029296875,142.77999877929688
2019-08-19,284.2541809082031,141.11000061035156
2019-08-20,282.0760498046875,142.2100067138672
2019-08-21,284.3708801269531,141.75999450683594
2019-08-22,284.2833557128906,141.39999389648438
2019-08-23,276.9808044433594,144.1699981689453
2019-08-26,280.0438232421875,144.19000244140625
2019-08-27,278.945068359375,145.57000732421875
2019-08-28,280.90924072265625,145.16000366210938
2019-08-29,284.49725341796875,144.1199951171875
2019-08-30,284.3708801269531,143.75
2019-09-03,282.7080993652344,145.75
2019-09-04,285.9169616699219,146.66000366210938
2019-09-05,289.5924987792969,143.13999938964844
2019-09-06,289.8161926269531,141.9199981689453
2019-09-09,289.9620361328125,141.38999938964844
2019-09-10,289.8939514160156,140.17999267578125
2019-09-11,291.9554138183594,141.02999877929688
2019-09-12,292.9667053222656,141.32000732421875
2019-09-13,292.772216796875,140.14999389648438
2019-09-16,291.8678894042969,141.32000732421875
2019-09-17,292.6069030761719,141.60000610351562
2019-09-18,292.78192138671875,140.7100067138672
2019-09-19,292.762451171875,141.27999877929688
2019-09-20,291.37921142578125,142.9499969482422
2019-09-23,291.3108215332031,143.75
2019-09-24,289.0250244140625,144.50999450683594
2019-09-25,290.7344970703125,141.8300018310547
2019-09-26,290.12884521484375,141.7899932861328
2019-09-27,288.56585693359375,141.05999755859375
2019-09-30,289.9041442871094,138.8699951171875
2019-10-01,286.455810546875,139.6300048828125
2019-10-02,281.39569091796875,141.25999450683594
2019-10-03,283.7010498046875,141.89999389648438
2019-10-04,287.5401611328125,141.89999389648438
2019-10-07,286.29949951171875,140.69000244140625
2019-10-08,281.85479736328125,141.9199981689453
